id, username, display_name, created_at, channel_type, country, uploads, subscribers, views, grade
UCwHE1kM1CPJd_pI9FQ0-4dg, wHE1kM1CPJd_pI9FQ0-4dg, shfa, 2015-03-29, peopleUnited Arab Emirates, 671, 31000000, 16472628439, N/A
UC2tsySbe9TNrI-xh2lximHA, 2tsySbe9TNrI-xh2lximHA, A4, 2014-11-29, entertainmentBelarus, 387, 30700000, 7916081528, N/A
UCt-k6JwNWHMXDBGm9IYHdsg, JbalvinTube, J Balvin, 2011-02-18, musicColombia, 78, 30700000, 17966463515, N/A
UCF1JIbMUs6uqoZEY1Haw0GQ, ShemarooEnt, Shemaroo, 2007-09-01, entertainmentIndia, 7380, 30400000, 16619738708, N/A
UC_aEa8K-EOJ3D6gOs7HcyNg, NoCopyrightSounds, NoCopyrightSounds, 2011-08-14, musicUnited Kingdom, 919, 30200000, 9726179389, N/A
UCa10nxShhzNrCE1o2ZOPztg, alltrapnation, Trap Nation, 2012-09-23, musicUnited States, 2186, 30100000, 12228636962, N/A
UCj22tfcQrWG7EMEKS0qLeEg, AddictedA1, CarryMinati, 2014-10-30, musicIndia, 173, 30000000, 2310447481, N/A
UC8f7MkX4MFOOJ2SerXLInCA, gmmonetv, one31, 2013-01-10, entertainmentThailand, 107820, 29600000, 23500275106, N/A
UChGJGhZ9SOOHvBB0Y4DOO_w, hGJGhZ9SOOHvBB0Y4DOO_w, Ryan's World, 2015-03-17, entertainmentUnited States, 1978, 29600000, 46994123456, N/A
UCF0pVplsI8R5kcAqgtoRqoA, F0pVplsI8R5kcAqgtoRqoA, Popular on YouTube, 2013-12-04, gamesUnspecified, 0, 29500000, 0, N/A
UCxoq-PAQeAdk_zyg8YS0JqA, LuisFonsiVivo, Luis Fonsi, 2014-02-25, entertainmentUnited States, 82, 29400000, 13306649939, N/A
UC7_YxT-KID8kRbqZo7MyscQ, markipliergame, Markiplier, 2012-05-26, gamesUnited States, 4932, 29200000, 15709851809, N/A
UCRWFSbif-RFENbBrSiez1DA, abpnewstv, ABP NEWS, 2012-06-01, newsIndia, 172027, 29300000, 8259281446, N/A
